Model,Accuracy,Precision,Recall,ROC-AUC,CV ROC-AUC Mean,CV ROC-AUC Std
Logistic Regression,0.8108309581232186,0.5177824267782427,0.05714615562225814,0.6970231797434985,0.7001699342254449,0.002194730450247485
Random Forest,0.8108309581232186,0.5283333333333333,0.036596628954052184,0.6987282428690273,0.7023325305956776,0.002397287575517469
XGBoost,0.8110502082876562,0.5258823529411765,0.05160471022858462,0.6999964623567385,0.7032586969774917,0.002130734144265446
